Сверка 1.xlsx, лист Sheet1. Номера строк — номера строк Excel, не № п/п.
Сопоставление: входящий платёж (F, кредит) и расходный ордер (E, дебет), одинаковая сумма до копейки. Даты не ограничены. Совпадение суммы само по себе не подтверждает связь документов.
Однозначные пары по сумме: 274. Группы с повторяющимися суммами: 0. Без точного совпадения: платежей 9, ордеров 21.

ТОЧНЫЕ ОДНОЗНАЧНЫЕ ПАРЫ
Строка платежа | Строка ордера | Сумма, руб. | Документ платежа | Документ ордера
909 | 1092 | 35870,00 | Входящий платёж (01.11.24, № 15271) | Расходный ордер (24.01.25, № 29422)
911 | 1094 | 4037,00 | Входящий платёж (07.11.24, № 15316) | Расходный ордер (24.01.25, № 29424)
912 | 1097 | 6302,60 | Входящий платёж (14.11.24, № 15394) | Расходный ордер (24.01.25, № 29426)
929 | 1103 | 22353,00 | Входящий платёж (06.12.24, № 15588) | Расходный ордер (24.01.25, № 29430)
930 | 1100 | 21102,80 | Входящий платёж (06.12.24, № 15589) | Расходный ордер (24.01.25, № 29428)
933 | 1107 | 46051,00 | Входящий платёж (10.12.24, № 15618) | Расходный ордер (24.01.25, № 29432)
936 | 1111 | 23872,20 | Входящий платёж (13.12.24, № 15654) | Расходный ордер (24.01.25, № 29434)
938 | 1115 | 11657,00 | Входящий платёж (17.12.24, № 15686) | Расходный ордер (24.01.25, № 29436)
941 | 1116 | 18265,00 | Входящий платёж (19.12.24, № 15710) | Расходный ордер (24.01.25, № 29438)
954 | 1119 | 111662,00 | Входящий платёж (24.12.24, № 15757) | Расходный ордер (24.01.25, № 29440)
966 | 1122 | 9647,60 | Входящий платёж (27.12.24, № 15790) | Расходный ордер (24.01.25, № 29442)
970 | 1124 | 3887,00 | Входящий платёж (30.12.24, № 15814) | Расходный ордер (24.01.25, № 29444)
1012 | 1156 | 178687,20 | Входящий платёж (10.01.25, № 15886) | Расходный ордер (24.01.25, № 29448)
1032 | 1157 | 88514,30 | Входящий платёж (14.01.25, № 15936) | Расходный ордер (24.01.25, № 29451)
1037 | 1168 | 100689,20 | Входящий платёж (15.01.25, № 15946) | Расходный ордер (24.01.25, № 29455)
1039 | 1172 | 9322,40 | Входящий платёж (16.01.25, № 15958) | Расходный ордер (24.01.25, № 29457)
1060 | 1182 | 85128,90 | Входящий платёж (20.01.25, № 15989) | Расходный ордер (24.01.25, № 29459)
1069 | 1187 | 28137,80 | Входящий платёж (21.01.25, № 16002) | Расходный ордер (24.01.25, № 29462)
1070 | 1200 | 86934,70 | Входящий платёж (22.01.25, № 16015) | Расходный ордер (24.01.25, № 29464)
1079 | 1207 | 40378,40 | Входящий платёж (24.01.25, № 16030) | Расходный ордер (24.01.25, № 29466)
1214 | 1412 | 19132,00 | Входящий платёж (27.01.25, № 16052) | Расходный ордер (31.03.25, № 30608)
1219 | 1413 | 39451,60 | Входящий платёж (28.01.25, № 16066) | Расходный ордер (31.03.25, № 30610)
1220 | 1431 | 85881,70 | Входящий платёж (29.01.25, № 16074) | Расходный ордер (31.03.25, № 30612)
1224 | 1434 | 10864,40 | Входящий платёж (30.01.25, № 16085) | Расходный ордер (31.03.25, № 30614)
1227 | 1436 | 7108,00 | Входящий платёж (31.01.25, № 16094) | Расходный ордер (31.03.25, № 30616)
1235 | 1438 | 3811,40 | Входящий платёж (03.02.25, № 16116) | Расходный ордер (31.03.25, № 30619)
1241 | 1455 | 112855,25 | Входящий платёж (04.02.25, № 16127) | Расходный ордер (31.03.25, № 30621)
1246 | 1460 | 51168,35 | Входящий платёж (06.02.25, № 16140) | Расходный ордер (31.03.25, № 30623)
1253 | 1462 | 5346,70 | Входящий платёж (07.02.25, № 16149) | Расходный ордер (31.03.25, № 30625)
1273 | 1469 | 50348,30 | Входящий платёж (10.02.25, № 16171) | Расходный ордер (31.03.25, № 30627)
1275 | 1475 | 10489,10 | Входящий платёж (11.02.25, № 16186) | Расходный ордер (31.03.25, № 30630)
1277 | 1489 | 122768,40 | Входящий платёж (12.02.25, № 16193) | Расходный ордер (31.03.25, № 30632)
1299 | 1493 | 34182,30 | Входящий платёж (18.02.25, № 16240) | Расходный ордер (31.03.25, № 30635)
1301 | 1512 | 142869,00 | Входящий платёж (19.02.25, № 16248) | Расходный ордер (31.03.25, № 30637)
1318 | 1519 | 35288,40 | Входящий платёж (25.02.25, № 16296) | Расходный ордер (31.03.25, № 30639)
1319 | 1542 | 188582,50 | Входящий платёж (26.02.25, № 16303) | Расходный ордер (31.03.25, № 30641)
1345 | 1550 | 81921,45 | Входящий платёж (04.03.25, № 16345) | Расходный ордер (31.03.25, № 30643)
1348 | 1552 | 29984,40 | Входящий платёж (05.03.25, № 16353) | Расходный ордер (31.03.25, № 30646)
1350 | 1558 | 48965,20 | Входящий платёж (06.03.25, № 16361) | Расходный ордер (31.03.25, № 30649)
1359 | 1564 | 4338,00 | Входящий платёж (11.03.25, № 16405) | Расходный ордер (31.03.25, № 30651)
1362 | 1569 | 29930,90 | Входящий платёж (13.03.25, № 16418) | Расходный ордер (31.03.25, № 30655)
1363 | 1566 | 24603,00 | Входящий платёж (13.03.25, № 16419) | Расходный ордер (31.03.25, № 30653)
1375 | 1584 | 162154,40 | Входящий платёж (18.03.25, № 16462) | Расходный ордер (31.03.25, № 30657)
1382 | 1588 | 99046,20 | Входящий платёж (21.03.25, № 16483) | Расходный ордер (31.03.25, № 30660)
1392 | 1598 | 34403,00 | Входящий платёж (25.03.25, № 16514) | Расходный ордер (31.03.25, № 30663)
1399 | 1604 | 71939,40 | Входящий платёж (27.03.25, № 16532) | Расходный ордер (31.03.25, № 30665)
1625 | 1616 | 113408,40 | Входящий платёж (02.04.25, № 16585) | Расходный ордер (31.03.25, № 30667)
1652 | 1755 | 76167,40 | Входящий платёж (17.04.25, № 16708) | Расходный ордер (23.05.25, № 31141)
1655 | 1730 | 22447,40 | Входящий платёж (18.04.25, № 16717) | Расходный ордер (23.05.25, № 31135)
1656 | 1763 | 2984,40 | Входящий платёж (18.04.25, № 16718) | Расходный ордер (23.05.25, № 31143)
1657 | 1753 | 164321,50 | Входящий платёж (18.04.25, № 16719) | Расходный ордер (23.05.25, № 31139)
1658 | 1731 | 62066,00 | Входящий платёж (18.04.25, № 16720) | Расходный ордер (23.05.25, № 31137)
1659 | 1765 | 24272,00 | Входящий платёж (18.04.25, № 16721) | Расходный ордер (23.05.25, № 31145)
1666 | 1768 | 5977,00 | Входящий платёж (22.04.25, № 16753) | Расходный ордер (23.05.25, № 31147)
1671 | 1777 | 136540,40 | Входящий платёж (23.04.25, № 16762) | Расходный ордер (23.05.25, № 31149)
1674 | 1778 | 83738,50 | Входящий платёж (25.04.25, № 16780) | Расходный ордер (23.05.25, № 31151)
1680 | 1785 | 23874,80 | Входящий платёж (29.04.25, № 16815) | Расходный ордер (23.05.25, № 31154)
1683 | 1787 | 40971,40 | Входящий платёж (30.04.25, № 16826) | Расходный ордер (23.05.25, № 31157)
1695 | 1830 | 18499,50 | Входящий платёж (08.05.25, № 16892) | Расходный ордер (18.06.25, № 31428)
1705 | 1835 | 28024,80 | Входящий платёж (14.05.25, № 16940) | Расходный ордер (18.06.25, № 31430)
1706 | 1836 | 16590,80 | Входящий платёж (15.05.25, № 16948) | Расходный ордер (18.06.25, № 31432)
1716 | 1837 | 7193,00 | Входящий платёж (20.05.25, № 16988) | Расходный ордер (18.06.25, № 31434)
